GPU명,라인,유효가중치_종합,종합_성능점수,라인_내_종합_성능_순위,유효가중치_순수,순수_성능점수,라인_내_순수_성능_순위
지포스 RTX 4070 Ti,퍼포먼스,0.8400000000000001,0.5084739620121703,4,0.8400000000000001,0.5084739620121703,5
지포스 RTX 4070 SUPER,퍼포먼스,0.8200000000000001,0.4774592149014377,5,0.8200000000000001,0.4774592149014377,8
지포스 RTX 3080 Ti ,퍼포먼스,0.8200000000000001,0.47274502140088315,6,0.8200000000000001,0.47274502140088315,9
라데온 RX 9070,퍼포먼스,0.775,0.4706732780293745,7,0.7000000000000001,0.5352869160153154,3
라데온 RX 6950 XT,퍼포먼스,0.8200000000000001,0.45875664801849936,8,0.8200000000000001,0.45875664801849936,10
라데온 RX 7900 GRE,퍼포먼스,0.8200000000000001,0.4473086627546077,9,0.8200000000000001,0.4473086627546077,11
지포스 RTX 3080 12GB,퍼포먼스,0.8200000000000001,0.44681888849662266,10,0.8200000000000001,0.44681888849662266,12
라데온 RX 6900 XT ,퍼포먼스,0.8500000000000001,0.44571384520802576,11,0.8500000000000001,0.44571384520802576,13
지포스 RTX 5070,퍼포먼스,0.775,0.441767332260929,12,0.7000000000000001,0.5013048248682984,6
지포스 RTX 3080 10GB,퍼포먼스,0.8500000000000001,0.42053846799247485,13,0.8500000000000001,0.42053846799247485,14
지포스 RTX 4070 GDDR6X,퍼포먼스,0.8200000000000001,0.41234397289655556,14,0.8200000000000001,0.41234397289655556,15
지포스 RTX 4070 GDDR6,퍼포먼스,0.6000000000000001,0.4091861687866828,15,0.6000000000000001,0.4091861687866828,17
라데온 RX 6800 XT,퍼포먼스,0.8200000000000001,0.4005643117546221,16,0.8200000000000001,0.4005643117546221,18
지포스 RTX 3090 ,퍼포먼스,0.895,0.3743141391045343,17,0.8200000000000001,0.47973569836603286,7
라데온 RX 7800 XT,퍼포먼스,0.895,0.3666612840006695,18,0.8200000000000001,0.41203145822272885,16
라데온 RX 6800,퍼포먼스,0.8200000000000001,0.3451666386750652,19,0.8200000000000001,0.3451666386750652,21
라데온 RX 7700 XT,퍼포먼스,0.8200000000000001,0.34374883997840666,20,0.8200000000000001,0.34374883997840666,22
지포스 RTX 5060 Ti 16GB,퍼포먼스,0.775,0.314972442786906,21,0.7000000000000001,0.3632716631652905,19
지포스 RTX 5060 Ti 8GB,퍼포먼스,0.775,0.3073855830730519,22,0.7000000000000001,0.3497654430355246,20
아크 A770 8GB,하위 메인스트림,0.6000000000000001,0.22459503365106379,1,0.6000000000000001,0.22459503365106379,2
아크 A750,하위 메인스트림,0.8200000000000001,0.20781078393803076,2,0.8200000000000001,0.20781078393803076,4
지포스 GTX 1080 Ti,하위 메인스트림,0.8200000000000001,0.20618444137113975,3,0.8200000000000001,0.20618444137113975,5
지포스 RTX 2070 ,하위 메인스트림,0.8500000000000001,0.19721955444674114,4,0.8500000000000001,0.19721955444674114,7
아크 A580,하위 메인스트림,0.77,0.19540134071520912,5,0.77,0.19540134071520912,8
아크 A770 16GB,하위 메인스트림,0.895,0.1953371717037393,6,0.8200000000000001,0.23441229243940553,1
아크 B570,하위 메인스트림,0.775,0.187727346027176,7,0.7000000000000001,0.21844062311308282,3
지포스 RTX 2060 12GB,하위 메인스트림,0.7000000000000001,0.17781924262476342,8,0.7000000000000001,0.17781924262476342,10
지포스 RTX 3060 12GB,하위 메인스트림,0.895,0.1721236560318431,9,0.8200000000000001,0.19901365115455127,6
지포스 RTX 2060 SUPER ,하위 메인스트림,0.895,0.16559261937064418,10,0.8200000000000001,0.188174000114239,9
지포스 RTX 2060 6GB,하위 메인스트림,0.8200000000000001,0.16093076500118453,11,0.8200000000000001,0.16093076500118453,13
지포스 GTX 1080,하위 메인스트림,0.6000000000000001,0.16025030551893915,12,0.6000000000000001,0.16025030551893915,14
라데온 RX 6600,하위 메인스트림,0.895,0.15127796063061957,13,0.8200000000000001,0.16997046040034083,12
지포스 GTX 1070 Ti,하위 메인스트림,0.6000000000000001,0.1492238161107341,14,0.6000000000000001,0.1492238161107341,15
지포스 RTX 3060 8GB,하위 메인스트림,0.775,0.139651138284259,15,0.7000000000000001,0.17573046479599702,11
지포스 RTX 5090,하이엔드,0.8350000000000001,0.8340313124331791,1,0.76,1.0,1
지포스 RTX 4090,하이엔드,0.8400000000000001,0.8243402780086458,2,0.8400000000000001,0.8243402780086458,2
지포스 RTX 4080 SUPER,하이엔드,0.8200000000000001,0.652098577360477,3,0.8200000000000001,0.652098577360477,4
지포스 RTX 4080,하이엔드,0.8400000000000001,0.6421777688517595,4,0.8400000000000001,0.6421777688517595,5
지포스 RTX 5080,하이엔드,0.8250000000000001,0.6114027548171024,5,0.75,0.705278717890678,3
라데온 RX 7900 XTX,하이엔드,0.895,0.5524245139562167,6,0.8200000000000001,0.621196458334321,6
지포스 RTX 5070 Ti,하이엔드,0.8250000000000001,0.5432171140605568,7,0.75,0.6187022844732359,7
라데온 RX 9070 XT,하이엔드,0.775,0.5200648825012031,8,0.7000000000000001,0.5930655896502306,8
