GPU명,라인,종합_성능점수,유효가중치_종합,종합_성능_순위,순수_성능점수,유효가중치_순수,순수_성능_순위
아크 A770 16GB,하위 메인스트림,0.1953371717037393,0.895,53,0.23441229243940553,0.8200000000000001,43
라데온 RX 6600 XT,상위 메인스트림,0.19415255581432891,0.8200000000000001,54,0.19415255581432891,0.8200000000000001,58
라데온 RX 7600,상위 메인스트림,0.19397791966349093,0.895,55,0.21540891434098153,0.8200000000000001,50
아크 B570,하위 메인스트림,0.187727346027176,0.775,56,0.21844062311308282,0.7000000000000001,49
라데온 RX 6650 XT,상위 메인스트림,0.18309143821078988,0.895,57,0.20562921712633891,0.8200000000000001,54
지포스 RTX 2060 12GB,하위 메인스트림,0.17781924262476342,0.7000000000000001,58,0.17781924262476342,0.7000000000000001,60
지포스 RTX 3060 12GB,하위 메인스트림,0.1721236560318431,0.895,59,0.19901365115455127,0.8200000000000001,55
지포스 RTX 2060 SUPER ,하위 메인스트림,0.16559261937064418,0.895,60,0.188174000114239,0.8200000000000001,59
지포스 RTX 2060 6GB,하위 메인스트림,0.16093076500118453,0.8200000000000001,61,0.16093076500118453,0.8200000000000001,63
지포스 GTX 1080,하위 메인스트림,0.16025030551893915,0.6000000000000001,62,0.16025030551893915,0.6000000000000001,64
라데온 RX 6600,하위 메인스트림,0.15127796063061957,0.895,63,0.16997046040034083,0.8200000000000001,62
지포스 GTX 1070 Ti,하위 메인스트림,0.1492238161107341,0.6000000000000001,64,0.1492238161107341,0.6000000000000001,65
지포스 RTX 3060 8GB,하위 메인스트림,0.139651138284259,0.775,65,0.17573046479599702,0.7000000000000001,61
지포스 RTX 3050 8GB,엔트리,0.13609606021624704,0.8200000000000001,66,0.13609606021624704,0.8200000000000001,66
지포스 GTX 1660 Ti,엔트리,0.13207749080851153,0.8300000000000001,67,0.13207749080851153,0.8300000000000001,67
라데온 RX VEGA 56,엔트리,0.13145438384306224,0.6000000000000001,68,0.13145438384306224,0.6000000000000001,68
지포스 GTX 1070,엔트리,0.128241054219432,0.6000000000000001,69,0.128241054219432,0.6000000000000001,69
지포스 GTX 1660,엔트리,0.11291416875690281,0.8200000000000001,70,0.11291416875690281,0.8200000000000001,71
지포스 GTX 1660 SUPER,엔트리,0.10691718146439327,0.895,71,0.12483463889050311,0.8200000000000001,70
라데온 RX 5500 XT 8GB,엔트리,0.10401108445843987,0.77,72,0.10401108445843987,0.77,73
라데온 RX 590,엔트리,0.09915929967615275,0.75,73,0.09915929967615275,0.75,74
지포스 GTX 1650 SUPER,엔트리,0.0951089172630369,0.8200000000000001,74,0.0951089172630369,0.8200000000000001,75
라데온 RX 5500 XT 4GB,엔트리,0.09401866461131098,0.8200000000000001,75,0.09401866461131098,0.8200000000000001,76
라데온 RX 580,엔트리,0.08811264931373708,0.75,76,0.08811264931373708,0.75,77
라데온 RX 6500 XT,엔트리,0.0880682825821644,0.8200000000000001,77,0.0880682825821644,0.8200000000000001,78
지포스 GTX 1060 6GB,엔트리,0.08188914554650051,0.8200000000000001,78,0.08188914554650051,0.8200000000000001,79
지포스 RTX 3050 6GB,엔트리,0.08067903155980785,0.775,79,0.1057069100004042,0.7000000000000001,72
라데온 RX 480,로우엔드,0.07283259785830098,0.6000000000000001,80,0.07283259785830098,0.6000000000000001,82
지포스 GTX 1060 3GB,엔트리,0.07091503387710177,0.8200000000000001,81,0.07091503387710177,0.8200000000000001,83
라데온 RX 580 2048SP (= RX 570),엔트리,0.07077372592046915,0.8250000000000001,82,0.07785109851251609,0.75,80
라데온 RX 470,로우엔드,0.06643050528721565,0.6000000000000001,83,0.06643050528721565,0.6000000000000001,85
지포스 GTX 1650 GDDR5,로우엔드,0.06270786867385326,0.8200000000000001,84,0.06270786867385326,0.8200000000000001,87
아크 A380,로우엔드,0.06148661988135971,0.8450000000000001,85,0.07649396328854453,0.77,81
라데온 RX 6400,로우엔드,0.04346980323324441,0.8450000000000001,86,0.06899319875630719,0.77,84
지포스 GTX 1650 GDDR6,로우엔드,0.037124941622216696,0.905,87,0.06559973429859366,0.8300000000000001,86
지포스 GTX 1050,로우엔드,0.031015695389551606,0.62,88,0.031015695389551606,0.62,89
라데온 RX 550 2GB,로우엔드,0.007222366234794337,0.7000000000000001,89,0.007222366234794337,0.7000000000000001,90
지포스 GTX 1050 Ti,로우엔드,0.0006601477849162308,0.6950000000000001,90,0.039147725418170645,0.62,88
그래픽스 (285K iGPU),로우엔드,,0.2,91,,0.2,91
라데온 그래픽스 (9700X iGPU),로우엔드,,0.2,91,,0.2,91
지포스 GT 1030 GDDR5,로우엔드,,0.445,91,,0.37,91
UHD 그래픽스 770 (14700 iGPU),로우엔드,,0.2,91,,0.2,91
라데온 760M (8600G iGPU),로우엔드,,0.2,91,,0.2,91
아크 A310,로우엔드,,0.445,91,,0.37,91
라데온 780M (8700G iGPU),로우엔드,,0.2,91,,0.2,91
지포스 GTX 1630,로우엔드,,0.30000000000000004,91,,0.30000000000000004,91
지포스 GT 1030 DDR4,로우엔드,,0.445,91,,0.37,91
